Time,NOAA 1,NOAA 2,NOAA 3,NOAA 4,NOAA 5,NOAA 6,NOAA 7,NOAA 8,NOAA 9,NOAA 10,NOAA 11,NOAA 12,NOAA 13,NOAA 14,NOAA 15,NOAA 16,NOAA 17,NOAA 18,NOAA 19,NOAA 20
2023-10-10 21:13:41.946527,"{'Longitude': 14.211150842620077, 'Latitude': -47.2093472551735, 'Altitude': 1488.3118872356026}","{'Longitude': -68.1522181276034, 'Latitude': 24.890707740527883, 'Altitude': 1456.40246045814}","{'Longitude': 106.9783149374682, 'Latitude': -33.61580641775522, 'Altitude': 1517.4950705089245}","{'Longitude': 127.40127443051705, 'Latitude': 48.90282847806907, 'Altitude': 1463.7146956035365}","{'Longitude': -92.57185687805044, 'Latitude': 33.131931452568544, 'Altitude': 1515.6460615266915}","{'Longitude': -30.410892134590394, 'Latitude': -38.81004348726279, 'Altitude': 787.2929393340677}","{'Longitude': 5.98004384914706, 'Latitude': -34.259859994734335, 'Altitude': 853.2743125345431}","{'Longitude': 124.11278007406882, 'Latitude': 19.93510414380445, 'Altitude': 796.4086218540223}","{'Longitude': -15.355508718656212, 'Latitude': -78.5439122743946, 'Altitude': 856.9362875382828}","{'Longitude': 143.30267088860492, 'Latitude': 74.6827888728834, 'Altitude': 813.0141277685781}","{'Longitude': 90.74353223233787, 'Latitude': -28.548405747219974, 'Altitude': 844.8711171203892}","{'Longitude': -47.52581979354883, 'Latitude': -58.627157980956724, 'Altitude': 824.992202394752}","{'Longitude': 91.1210199495648, 'Latitude': 15.181284175840014, 'Altitude': 854.1397179340448}","{'Longitude': -75.2908926293926, 'Latitude': 71.75305512097908, 'Altitude': 851.8251359213302}","{'Longitude': 28.66653783365704, 'Latitude': -79.64260410090121, 'Altitude': 828.8877932834785}","{'Longitude': -178.0425329310822, 'Latitude': 49.547539358212816, 'Altitude': 856.4795867944373}","{'Longitude': 56.155070113383225, 'Latitude': -61.48477651810453, 'Altitude': 829.1699773675805}","{'Longitude': -165.37109111319623, 'Latitude': -31.13234306665529, 'Altitude': 870.6719108019095}","{'Longitude': 81.008760792167, 'Latitude': -80.94760412976791, 'Altitude': 868.6194927531088}","{'Longitude': 71.02339096022374, 'Latitude': 42.84014855144011, 'Altitude': 832.4080779597624}"
2023-10-10 21:12:41.946527,"{'Longitude': 15.876986594223409, 'Latitude': -50.17376342654957, 'Altitude': 1490.0834109181644}","{'Longitude': -67.12996443020545, 'Latitude': 21.828214536881617, 'Altitude': 1455.9601271019028}","{'Longitude': 108.14302072795286, 'Latitude': -30.610676888285894, 'Altitude': 1516.0072826007718}","{'Longitude': 129.24114520544086, 'Latitude': 51.86229457022772, 'Altitude': 1464.6532498515548}","{'Longitude': -91.42232677164195, 'Latitude': 30.12088670220037, 'Altitude': 1514.7628597394898}","{'Longitude': -29.22997368978021, 'Latitude': -42.326621577278736, 'Altitude': 788.5114573338919}","{'Longitude': 7.065632959539657, 'Latitude': -37.73216933749131, 'Altitude': 854.3757483181492}","{'Longitude': 124.99033197951753, 'Latitude': 23.47707656103946, 'Altitude': 797.3736117680035}","{'Longitude': 1.6522875423462597, 'Latitude': -80.28766235462362, 'Altitude': 856.8644884321063}","{'Longitude': 152.82023987825696, 'Latitude': 77.45909563383644, 'Altitude': 812.8272286060967}","{'Longitude': 91.64801965637558, 'Latitude': -25.044589057325183, 'Altitude': 843.761194324224}","{'Longitude': -45.13136138867305, 'Latitude': -62.01223266501452, 'Altitude': 826.7753535670331}","{'Longitude': 91.94581170998833, 'Latitude': 18.686043381088304, 'Altitude': 853.8848851988704}","{'Longitude': -70.54138674112993, 'Latitude': 68.56936041573182, 'Altitude': 850.9995324189013}","{'Longitude': 48.27203277934846, 'Latitude': -81.13841313395211, 'Altitude': 829.4998453167939}","{'Longitude': -176.4531445101998, 'Latitude': 52.97773787945414, 'Altitude': 857.6853504678337}","{'Longitude': 58.525501869592574, 'Latitude': -58.1034145712208, 'Altitude': 828.5027311115082}","{'Longitude': -164.40518754290463, 'Latitude': -27.659794682988768, 'Altitude': 869.0423533116652}","{'Longitude': 102.92204754962222, 'Latitude': -80.46346916503461, 'Altitude': 868.6588290125122}","{'Longitude': 72.33056478628902, 'Latitude': 46.31218079539523, 'Altitude': 833.1523392948359}"
2023-10-10 21:11:41.946527,"{'Longitude': 17.728307272844024, 'Latitude': -53.11644859591939, 'Altitude': 1491.745185245779}","{'Longitude': -66.13988264796504, 'Latitude': 18.76122256233188, 'Altitude': 1455.5948696883981}","{'Longitude': 109.25312387379596, 'Latitude': -27.597508845772644, 'Altitude': 1514.5563962276274}","{'Longitude': 131.30302309488883, 'Latitude': 54.79567683348296, 'Altitude': 1465.5627959024453}","{'Longitude': -90.32570180058363, 'Latitude': 27.102531945362067, 'Altitude': 1513.9536354842746}","{'Longitude': -27.939681314827105, 'Latitude': -45.83202714082604, 'Altitude': 789.7419844781689}","{'Longitude': 8.232770415597592, 'Latitude': -41.19549189293404, 'Altitude': 855.4684154712265}","{'Longitude': 125.9021292475495, 'Latitude': 27.014234282817412, 'Altitude': 798.4457727485394}","{'Longitude': 23.24110660524793, 'Latitude': -80.94549013601805, 'Altitude': 856.6631108408076}","{'Longitude': 166.9056993621099, 'Latitude': 79.75324036594273, 'Altitude': 812.5265208135432}","{'Longitude': 92.51646724188565, 'Latitude': -21.535847387332538, 'Altitude': 842.7506579468177}","{'Longitude': -42.20615610586213, 'Latitude': -65.35299231187085, 'Altitude': 828.4570721406388}","{'Longitude': 92.79478318436834, 'Latitude': 22.18824400872443, 'Altitude': 853.7373939664349}","{'Longitude': -66.92042425729635, 'Latitude': 65.29382457285989, 'Altitude': 850.1161680479762}","{'Longitude': 71.8896353811011, 'Latitude': -81.36116415462749, 'Altitude': 829.9560141212971}","{'Longitude': -174.63441381659138, 'Latitude': 56.38776402755562, 'Altitude': 858.8665396955728}","{'Longitude': 60.5277791704075, 'Latitude': -54.690976547410315, 'Altitude': 827.7503061555998}","{'Longitude': -163.48291447602068, 'Latitude': -24.180995207118574, 'Altitude': 867.4382647382068}","{'Longitude': 120.64649178383443, 'Latitude': -78.84674588866753, 'Altitude': 868.5705919692651}","{'Longitude': 73.78006378342478, 'Latitude': 49.77092440694941, 'Altitude': 833.9106013380075}"
2023-10-10 21:10:41.946527,"{'Longitude': 19.81263025008168, 'Latitude': -56.03238929749124, 'Altitude': 1493.2842023584776}","{'Longitude': -65.17606246769866, 'Latitude': 15.690515179591186, 'Altitude': 1455.3136003074176}","{'Longitude': 110.3176343033084, 'Latitude': -24.577382047568403, 'Altitude': 1513.1539841545334}","{'Longitude': 133.6457931343403, 'Latitude': 57.6962974598978, 'Altitude': 1466.4324984912819}","{'Longitude': -89.27323441561693, 'Latitude': 24.077941642441225, 'Altitude': 1513.228024124549}","{'Longitude': -26.510578361454087, 'Latitude': -49.323980868724384, 'Altitude': 790.9665986246902}","{'Longitude': 9.501594120570056, 'Latitude': -44.648211726826084, 'Altitude': 856.5357854484151}","{'Longitude': 126.85648510852629, 'Latitude': 30.54571635633164, 'Altitude': 799.610662894467}","{'Longitude': 44.84594708139201, 'Latitude': -80.29395875552164, 'Altitude': 856.3321317811585}","{'Longitude': -173.04760716583402, 'Latitude': 81.1808740616048, 'Altitude': 812.1098513112565}","{'Longitude': 93.35601078721679, 'Latitude': -18.022946066377962, 'Altitude': 841.8527902968058}","{'Longitude': -38.51264672034193, 'Latitude': -68.63021576240638, 'Altitude': 830.0212373283609}","{'Longitude': 93.674229692511, 'Latitude': 25.687167485634806, 'Altitude': 853.6894530531531}","{'Longitude': -64.04964771451526, 'Latitude': 61.95781592078572, 'Altitude': 849.1870006102993}","{'Longitude': 93.2281440343851, 'Latitude': -80.22397762124847, 'Altitude': 830.2543464862453}","{'Longitude': -172.5094437210383, 'Latitude': 59.7716926581301, 'Altitude': 860.00698160694}","{'Longitude': 62.25802494235674, 'Latitude': -51.25503800681589, 'Altitude': 826.9271321625431}","{'Longitude': -162.5959078028738, 'Latitude': -20.696743525240333, 'Altitude': 865.8756858282745}","{'Longitude': 133.2010370526595, 'Latitude': -76.49800281393009, 'Altitude': 868.3571772212681}","{'Longitude': 75.41277214837426, 'Latitude': 53.213188816380125, 'Altitude': 834.6673006932971}"
2023-10-10 21:09:41.946527,"{'Longitude': 22.193625932089336, 'Latitude': -58.91473746244202, 'Altitude': 1494.6881429243404}","{'Longitude': -64.23327858146759, 'Latitude': 12.616814918488789, 'Altitude': 1455.1222259648619}","{'Longitude': 111.34419709630382, 'Latitude': -21.551242552088073, 'Altitude': 1511.8109926149018}","{'Longitude': 136.3489686406916, 'Latitude': 60.554950206596686, 'Altitude': 1467.2520270622322}","{'Longitude': -88.25749076990843, 'Latitude': 21.04806194070723, 'Altitude': 1512.5949027272932}","{'Longitude': -24.902769290819244, 'Latitude': -52.799419247545934, 'Altitude': 792.1675238994004}","{'Longitude': 10.898462086202507, 'Latitude': -48.08824772167688, 'Altitude': 857.5612845736769}","{'Longitude': 127.8634795289652, 'Latitude': 34.070560820149744, 'Altitude': 800.8525554777716}","{'Longitude': 61.88380916079362, 'Latitude': -78.55411864667873, 'Altitude': 855.8735427677223}","{'Longitude': -149.31145880008225, 'Latitude': 81.3040516216493, 'Altitude': 811.5770695905724}","{'Longitude': 94.17273369397208, 'Latitude': -14.50660092384838, 'Altitude': 841.0793064786407}","{'Longitude': -33.6631731149944, 'Latitude': -71.81124002512297, 'Altitude': 831.4532924362883}","{'Longitude': 94.59156863126881, 'Latitude': 29.182035291535, 'Altitude': 853.7317766819874}","{'Longitude': -61.697387278745495, 'Latitude': 58.57983255816225, 'Altitude': 848.2252482260324}","{'Longitude': 108.68692636958541, 'Latitude': -78.11093401663118, 'Altitude': 830.39504595337}","{'Longitude': -169.96506819136982, 'Latitude': 63.12067639852539, 'Altitude': 861.0913332279713}","{'Longitude': 63.78253263146762, 'Latitude': -47.80074963022523, 'Altitude': 826.0485030484928}","{'Longitude': -161.73713315299145, 'Latitude': -17.20776652497385, 'Altitude': 864.3695234999369}","{'Longitude': 141.91432003622262, 'Latitude': -73.73074372095162, 'Altitude': 868.0229236222235}","{'Longitude': 77.28555407003552, 'Latitude': 56.63453246286093, 'Altitude': 835.4072071167592}"
2023-10-10 21:08:41.946527,"{'Longitude': 24.95810558441724, 'Latitude': -61.75392495004623, 'Altitude': 1495.945498704219}","{'Longitude': -63.30683078317237, 'Latitude': 9.540798929808682, 'Altitude': 1455.0255676479496}","{'Longitude': 112.33939145129786, 'Latitude': -18.519935546810462, 'Altitude': 1510.5376255129145}","{'Longitude': 139.52163585873905, 'Latitude': 63.35864344377794, 'Altitude': 1468.011676210115}","{'Longitude': -87.27206295984064, 'Latitude': 18.013741729503547, 'Altitude': 1512.062281428629}","{'Longitude': -23.060791220468303, 'Latitude': -56.25407749810022, 'Altitude': 793.3274012481678}","{'Longitude': 12.458626431790831, 'Latitude': -51.512831173461514, 'Altitude': 858.5285460238325}","{'Longitude': 128.93557613543334, 'Latitude': 37.5876588663355, 'Altitude': 802.1546822811991}","{'Longitude': 73.85606184891992, 'Latitude': -76.12900761539092, 'Altitude': 855.2913330906066}","{'Longitude': -128.29800350552858, 'Latitude': 80.07355489509096, 'Altitude': 810.9300562540254}","{'Longitude': 94.97193698967938, 'Latitude': -10.987494788018859, 'Altitude': 840.440174627264}","{'Longitude': -27.002991523435178, 'Latitude': -74.83725347841742, 'Altitude': 832.7404211171045}","{'Longitude': 95.55571738692501, 'Latitude': 32.67198332833496, 'Altitude': 853.8537686672407}","{'Longitude': -59.71590670630878, 'Latitude': 55.171377534601504, 'Altitude': 847.2451970733872}","{'Longitude': 119.14451709200351, 'Latitude': -75.44063629405055, 'Altitude': 830.3804510237437}","{'Longitude': -166.82879209255947, 'Latitude': 66.42093832077846, 'Altitude': 862.1053011967624}","{'Longitude': 65.14839915911803, 'Latitude': -44.331741265303485, 'Altitude': 825.1303365516858}","{'Longitude': -160.90055155212175, 'Latitude': -13.714742693092191, 'Altitude': 862.9333506801379}","{'Longitude': 148.14086975683665, 'Latitude': -70.7237629839132, 'Altitude': 867.5740467932068}","{'Longitude': 79.47976088993717, 'Latitude': 60.02854743120122, 'Altitude': 836.1156689230421}"
2023-10-10 21:07:41.946527,"{'Longitude': 28.226451218262856, 'Latitude': -64.5362588908017, 'Altitude': 1497.0456874637853}","{'Longitude': -62.392412094298926, 'Latitude': 6.463111146626556, 'Altitude': 1455.027292791191}","{'Longitude': 113.30896419382722, 'Latitude': -15.48423030541155, 'Altitude': 1509.343237079814}","{'Longitude': 143.3155076407614, 'Latitude': 66.08859630255996, 'Altitude': 1468.7024781896077}","{'Longitude': -86.31134391379862, 'Latitude': 14.975756237292702, 'Altitude': 1511.637204292595}","{'Longitude': -20.905320115072918, 'Latitude': -59.68180042738861, 'Altitude': 794.429550297013}","{'Longitude': 14.23035775082641, 'Latitude': -54.91815786612136, 'Altitude': 859.421658526872}","{'Longitude': 130.08848768937443, 'Latitude': 41.09568847480788, 'Altitude': 803.4994912434333}","{'Longitude': 82.18067382756635, 'Latitude': -73.31404930797976, 'Altitude': 854.5914441019232}","{'Longitude': -113.23563831142148, 'Latitude': 77.89462800622049, 'Altitude': 810.1727208592514}","{'Longitude': 95.7583502373058, 'Latitude': -7.466289027518784, 'Altitude': 839.9434627764714}","{'Longitude': -17.420684947201032, 'Latitude': -77.59626916867215, 'Altitude': 833.8716981824527}","{'Longitude': 96.57760593857428, 'Latitude': 36.15602529535859, 'Altitude': 854.0437264033372}","{'Longitude': -58.007309594442745, 'Latitude': 51.73994522281019, 'Altitude': 846.2619897683384}","{'Longitude': 126.35614206761649, 'Latitude': -72.46538977510049, 'Altitude': 830.2149836574677}","{'Longitude': -162.82741082053286, 'Latitude': 69.64998251299602, 'Altitude': 863.0358437796256}","{'Longitude': 66.38998210810595, 'Latitude': -40.85065964430226, 'Altitude': 824.1889236363064}","{'Longitude': -160.08086305109592, 'Latitude': -10.218318945375517, 'Altitude': 861.5792275074347}","{'Longitude': 152.77755027718928, 'Latitude': -67.5726004189603, 'Altitude': 867.0185453345198}","{'Longitude': 82.11551309973449, 'Latitude': 63.385628066937905, 'Altitude': 836.7788468947439}"
2023-10-10 21:06:41.946527,"{'Longitude': 32.168034065788525, 'Latitude': -67.241647008159, 'Altitude': 1497.9791591632531}","{'Longitude': -61.48599697457889, 'Latitude': 3.3843720815977676, 'Altitude': 1455.1298621090707}","{'Longitude': 114.25801534141827, 'Latitude': -12.44483938349945, 'Altitude': 1508.236234380616}","{'Longitude': 147.94321464227642, 'Latitude': 68.7170034603564, 'Altitude': 1469.3163063084094}","{'Longitude': -85.37034816879115, 'Latitude': 11.934825169922394, 'Altitude': 1511.3256610110036}","{'Longitude': -18.319230014029287, 'Latitude': -63.07335626627251, 'Altitude': 795.4582187160577}","{'Longitude': 16.281496375302417, 'Latitude': -58.29882598928866, 'Altitude': 860.2254081526688}","{'Longitude': 131.34241859040054, 'Latitude': 44.5930169929658, 'Altitude': 804.8689140116916}","{'Longitude': 88.15903448270231, 'Latitude': -70.27463805623749, 'Altitude': 853.7816949621034}","{'Longitude': -103.06137537213444, 'Latitude': 75.17896308256098, 'Altitude': 809.3109689283305}","{'Longitude': 96.53630186259112, 'Latitude': -3.9436316301216703, 'Altitude': 839.595215181286}","{'Longitude': -3.2223175746417856, 'Latitude': -79.86978577706829, 'Altitude': 834.838213392744}","{'Longitude': 97.67088812214595, 'Latitude': 39.63299996890425, 'Altitude': 854.2890610207012}","{'Longitude': -56.504449754372004, 'Latitude': 48.29062509082831, 'Altitude': 845.291397245846}","{'Longitude': 131.55610094872426, 'Latitude': -69.31578268993515, 'Altitude': 829.9050687600901}","{'Longitude': -157.5112084397587, 'Latitude': 72.76904738070779, 'Altitude': 863.8713525941643}","{'Longitude': 67.5329518830745, 'Latitude': -37.35950047522682, 'Altitude': 823.2406713907194}","{'Longitude': -159.2733043640461, 'Latitude': -6.719122690202882, 'Altitude': 860.3175469790119}","{'Longitude': 156.37062777353177, 'Latitude': -64.32959376634828, 'Altitude': 866.366080858969}","{'Longitude': 85.3765302362659, 'Latitude': 66.69075154445243, 'Altitude': 837.3839333319423}"
2023-10-10 21:05:41.946527,"{'Longitude': 37.02301803299926, 'Latitude': -69.83986455665591, 'Altitude': 1498.737492460337}","{'Longitude': -60.583743390688916, 'Latitude': 0.30518698729460203, 'Altitude': 1455.3344915635316}","{'Longitude': 115.191148525797, 'Latitude': -9.40243358148132, 'Altitude': 1507.2239909590241}","{'Longitude': 153.7009442612061, 'Latitude': 71.20182913868877, 'Altitude': 1469.8459681407014}","{'Longitude': -84.4445662678181, 'Latitude': 8.891626843011535, 'Altitude': 1511.1325106619984}","{'Longitude': -15.12329932990613, 'Latitude': -66.41429786080037, 'Altitude': 796.3988155876768}","{'Longitude': 18.710193265039166, 'Latitude': -61.64689385453025, 'Altitude': 860.9255097775792}","{'Longitude': 132.72389218939696, 'Latitude': 48.077555460054434, 'Altitude': 806.2446389609647}","{'Longitude': 92.63454584979375, 'Latitude': -67.09913002908453, 'Altitude': 852.8716806362826}","{'Longitude': -96.02978303073796, 'Latitude': 72.16920012914099, 'Altitude': 808.3526383530783}","{'Longitude': 97.30986240112918, 'Latitude': -0.4201629307683795, 'Altitude': 839.3993604012}","{'Longitude': 16.970877975476217, 'Latitude': -81.27170956286598, 'Altitude': 835.6331669974165}","{'Longitude': 98.85295105945144, 'Latitude': 43.10149442010059, 'Altitude': 854.5765298615046}","{'Longitude': -55.15984194273522, 'Latitude': 44.82700754835831, 'Altitude': 844.3495773350487}","{'Longitude': 135.48062610706546, 'Latitude': -66.05986996293062, 'Altitude': 829.4590256791249}","{'Longitude': -150.11871150292288, 'Latitude': 75.70736312712168, 'Altitude': 864.6018117849146}","{'Longitude': 68.59691264845465, 'Latitude': -33.85982030932826, 'Altitude': 822.3018432874908}","{'Longitude': -158.47348348382488, 'Latitude': -3.217770564561659, 'Altitude': 859.156907740241}","{'Longitude': 159.25424340417163, 'Latitude': -61.0248579089212, 'Altitude': 865.6278332991996}","{'Longitude': 89.5546753870813, 'Latitude': 69.9192693987537, 'Altitude': 837.9193531854886}"
2023-10-10 21:04:41.946527,"{'Longitude': 43.1291366760668, 'Latitude': -72.28445793182681, 'Altitude': 1499.3134806680775}","{'Longitude': -59.6819036815418, 'Latitude': -2.7738470232741124, 'Altitude': 1455.6411300210962}","{'Longitude': 116.11259579071944, 'Latitude': -6.357653808656024, 'Altitude': 1506.3127727761066}","{'Longitude': 160.9858972840126, 'Latitude': 73.47876918699014, 'Altitude': 1470.2852876220309}","{'Longitude': -83.52984363905135, 'Latitude': 5.8468093896576745, 'Altitude': 1511.061418591993}","{'Longitude': -11.032431780296314, 'Latitude': -69.68090154516666, 'Altitude': 797.2381256148827}","{'Longitude': 21.663110115522894, 'Latitude': -64.95023248708675, 'Altitude': 861.5088250445959}","{'Longitude': 134.268508432638, 'Latitude': 51.5465356537265, 'Altitude': 807.6083852852173}","{'Longitude': 96.11948973985892, 'Latitude': -63.83619167563535, 'Altitude': 851.8726432742287}","{'Longitude': -90.9443394542818, 'Latitude': 68.99039801764671, 'Altitude': 807.3074058014574}","{'Longitude': 98.08297097766297, 'Latitude': 3.1034801391010665, 'Altitude': 839.3576528744262}","{'Longitude': 40.775106880932725, 'Latitude': -81.36777441257631, 'Altitude': 836.2519361431054}","{'Longitude': 100.14638148340049, 'Latitude': 46.55973035920483, 'Altitude': 854.8924773002555}","{'Longitude': -53.93897981203985, 'Latitude': 41.351718916022655, 'Altitude': 843.4528235242775}","{'Longitude': 138.56430809934395, 'Latitude': -62.735006669677915, 'Altitude': 828.8869330651734}","{'Longitude': -139.38190690002565, 'Latitude': 78.32907965464332, 'Altitude': 865.2189327425203}","{'Longitude': 69.59714511129766, 'Latitude': -30.352875492852878, 'Altitude': 821.3883008291422}","{'Longitude': -157.67723870548735, 'Latitude': 0.28512507464473513, 'Altitude': 858.1040162643724}","{'Longitude': 161.63885905195963, 'Latitude': -57.67662959718647, 'Altitude': 864.8163332735754}","{'Longitude': 95.1310574932756, 'Latitude': 73.02850121983934, 'Altitude': 838.3749445472595}"
